customer_id,NUMBER_OF_LOANS,SHORT_TERM_COUNT,MID_TERM_COUNT,LONG_TERM_COUNT,OUTSTANDING_BAL_ALL_CURRENT,NUM_NEW_LOAN_TAKEN_3M,NUM_NEW_LOAN_TAKEN_6M,NUM_NEW_LOAN_TAKEN_9M,NUM_NEW_LOAN_TAKEN_12M,NUM_NEW_LOAN_TAKEN_BANK_3M,NUM_NEW_LOAN_TAKEN_BANK_6M,NUM_NEW_LOAN_TAKEN_BANK_9M,NUM_NEW_LOAN_TAKEN_BANK_12M,NUM_NEW_LOAN_TAKEN_NON_BANK_3M,NUM_NEW_LOAN_TAKEN_NON_BANK_6M,NUM_NEW_LOAN_TAKEN_NON_BANK_9M,NUM_NEW_LOAN_TAKEN_NON_BANK_12M,ENQUIRIES_3M,ENQUIRIES_12M,CREDIT_CARD_MONTH_SINCE_10DPD,CREDIT_CARD_MONTH_SINCE_30DPD,CREDIT_CARD_MONTH_SINCE_60DPD,CREDIT_CARD_MONTH_SINCE_90DPD,CREDIT_CARD_MONTH_SINCE_10DPD_FLAG,CREDIT_CARD_MONTH_SINCE_30DPD_FLAG,CREDIT_CARD_MONTH_SINCE_60DPD_FLAG,CREDIT_CARD_MONTH_SINCE_90DPD_FLAG,CREDIT_CARD_NUMBER_OF_LATE_PAYMENT
11166,16.0,,10.0,1.0,1120.0,7.0,10.0,,13.0,7.0,10.0,13.0,13.0,7.0,10.0,,13.0,7.0,12.0,,,,,0.0,0.0,,0.0,1.0
6895,19.0,10.0,,1.0,2270.0,7.0,10.0,10.0,19.0,7.0,10.0,10.0,19.0,7.0,10.0,10.0,19.0,17.0,,,,,,0.0,0.0,0.0,0.0,1.0
13992,4.0,,1.0,1.0,140.0,4.0,,7.0,7.0,4.0,4.0,7.0,7.0,4.0,,7.0,7.0,12.0,12.0,,,,,0.0,0.0,0.0,0.0,1.0
22355,7.0,7.0,1.0,1.0,20.0,4.0,4.0,7.0,7.0,4.0,4.0,7.0,7.0,4.0,4.0,7.0,7.0,7.0,7.0,,,,,0.0,0.0,0.0,0.0,
3402,,,1.0,1.0,150.0,,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,7.0,7.0,,,,,,0.0,0.0,0.0,1.0
20654,10.0,7.0,4.0,1.0,380.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,,,,,0.0,0.0,0.0,0.0,
21424,7.0,7.0,1.0,1.0,,7.0,,7.0,7.0,7.0,7.0,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,0.0,0.0,0.0,0.0,1.0
24919,7.0,7.0,1.0,1.0,230.0,4.0,7.0,7.0,7.0,4.0,,7.0,7.0,4.0,7.0,7.0,7.0,7.0,,,,,,0.0,0.0,0.0,0.0,1.0
22839,7.0,,1.0,1.0,220.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,,1.0,1.0,1.0,4.0,7.0,12.0,,,,,0.0,0.0,0.0,,1.0
2403,7.0,7.0,1.0,1.0,50.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,7.0,7.0,,,,,0.0,0.0,0.0,0.0,1.0
19685,4.0,4.0,1.0,1.0,,,1.0,4.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0,4.0,,37.0,52.0,,,,,,0.0,0.0,0.0,1.0
4491,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,7.0,27.0,,,,,0.0,,0.0,0.0,1.0
1329,4.0,1.0,4.0,1.0,50.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,7.0,7.0,,,,,0.0,0.0,0.0,0.0,1.0
20962,13.0,4.0,10.0,1.0,1630.0,1.0,,7.0,7.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0,7.0,17.0,,,,,0.0,0.0,0.0,0.0,1.0
17255,,10.0,7.0,1.0,740.0,13.0,16.0,16.0,16.0,13.0,16.0,,16.0,13.0,16.0,16.0,16.0,17.0,17.0,,,,,0.0,0.0,0.0,0.0,1.0
21059,16.0,16.0,1.0,1.0,280.0,10.0,13.0,13.0,13.0,10.0,,13.0,13.0,10.0,13.0,13.0,,12.0,12.0,,,,,,,0.0,0.0,1.0
5917,7.0,4.0,4.0,1.0,250.0,1.0,4.0,,7.0,1.0,4.0,7.0,7.0,1.0,4.0,7.0,7.0,22.0,22.0,,,,,,0.0,0.0,0.0,1.0
18722,16.0,10.0,7.0,1.0,3690.0,7.0,10.0,10.0,10.0,7.0,10.0,10.0,10.0,7.0,10.0,10.0,10.0,12.0,12.0,,,,,,0.0,0.0,0.0,1.0
8695,4.0,1.0,4.0,1.0,,1.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0,,4.0,17.0,27.0,,,,,0.0,0.0,0.0,,4.0
21137,7.0,,1.0,,160.0,1.0,1.0,4.0,7.0,1.0,1.0,4.0,7.0,1.0,1.0,4.0,7.0,17.0,17.0,,,,,0.0,0.0,0.0,0.0,1.0
6109,10.0,10.0,1.0,1.0,1150.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,32.0,32.0,,,,,0.0,,0.0,0.0,
24227,13.0,4.0,10.0,1.0,2050.0,1.0,1.0,7.0,7.0,1.0,,7.0,7.0,1.0,1.0,7.0,7.0,12.0,27.0,,,,,0.0,0.0,0.0,0.0,1.0
4467,4.0,4.0,1.0,1.0,20.0,1.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,1.0,4.0,4.0,,7.0,,,,,,0.0,0.0,,0.0,1.0
841,10.0,10.0,1.0,1.0,260.0,10.0,10.0,13.0,13.0,10.0,10.0,13.0,13.0,10.0,10.0,13.0,13.0,12.0,12.0,,,,,0.0,0.0,0.0,0.0,1.0
19131,7.0,7.0,1.0,,20620.0,4.0,4.0,7.0,7.0,4.0,4.0,7.0,7.0,4.0,4.0,7.0,7.0,12.0,27.0,,,,,0.0,0.0,0.0,0.0,
1152,,7.0,1.0,1.0,180.0,7.0,10.0,10.0,10.0,7.0,10.0,10.0,10.0,7.0,10.0,10.0,10.0,12.0,12.0,,,,,0.0,0.0,0.0,0.0,1.0
5701,7.0,1.0,7.0,1.0,360.0,1.0,4.0,,4.0,1.0,4.0,4.0,4.0,1.0,4.0,,4.0,7.0,12.0,,,,,0.0,0.0,0.0,0.0,1.0
13616,,4.0,1.0,1.0,80.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,,,,,0.0,0.0,0.0,0.0,1.0
1238,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,0.0,0.0,0.0,1.0
17920,7.0,1.0,7.0,1.0,430.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.0,52.0,,,,,0.0,0.0,0.0,,1.0
14155,7.0,7.0,1.0,1.0,100.0,1.0,1.0,7.0,7.0,,1.0,7.0,7.0,1.0,,7.0,7.0,12.0,,,,,,0.0,0.0,0.0,0.0,1.0
24064,,1.0,10.0,,3020.0,1.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,1.0,,4.0,4.0,12.0,17.0,,,,,,0.0,,0.0,1.0
20468,16.0,7.0,10.0,1.0,1380.0,4.0,7.0,13.0,,4.0,7.0,13.0,16.0,4.0,7.0,13.0,16.0,,47.0,,,,,0.0,0.0,0.0,0.0,1.0
13332,4.0,4.0,1.0,,10.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,7.0,7.0,,,,,0.0,0.0,0.0,0.0,1.0
13536,10.0,1.0,10.0,1.0,2080.0,,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,22.0,,,,,0.0,0.0,0.0,,1.0
9260,7.0,,1.0,1.0,210.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,,4.0,,4.0,7.0,17.0,,,,,0.0,0.0,0.0,0.0,1.0
11002,10.0,,7.0,1.0,1400.0,1.0,7.0,10.0,10.0,1.0,7.0,10.0,10.0,1.0,7.0,,10.0,12.0,27.0,,,,,0.0,0.0,0.0,0.0,1.0
22791,10.0,10.0,,1.0,270.0,7.0,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,7.0,,,,,0.0,0.0,0.0,0.0,
9457,16.0,7.0,10.0,1.0,550.0,1.0,4.0,13.0,13.0,,4.0,,13.0,1.0,4.0,13.0,,7.0,7.0,,,,,0.0,0.0,0.0,0.0,
14962,10.0,7.0,4.0,1.0,,4.0,7.0,10.0,10.0,4.0,,10.0,,4.0,7.0,10.0,10.0,42.0,57.0,,,,,,0.0,0.0,0.0,1.0
5792,13.0,7.0,7.0,1.0,1880.0,1.0,10.0,10.0,10.0,1.0,10.0,10.0,10.0,,,10.0,10.0,,97.0,,,,,0.0,0.0,0.0,0.0,1.0
3111,,7.0,1.0,1.0,250.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,12.0,,,,,,,,0.0,0.0,1.0
22777,7.0,,7.0,1.0,710.0,4.0,4.0,7.0,7.0,4.0,4.0,7.0,7.0,4.0,4.0,,7.0,17.0,27.0,,,,,0.0,0.0,0.0,0.0,1.0
1756,7.0,7.0,1.0,1.0,80.0,1.0,4.0,4.0,7.0,1.0,4.0,4.0,7.0,1.0,4.0,4.0,7.0,42.0,52.0,,,,,,,0.0,0.0,1.0
11945,4.0,,4.0,1.0,350.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,22.0,,,,,0.0,0.0,0.0,0.0,1.0
6614,,4.0,4.0,1.0,130.0,4.0,4.0,7.0,7.0,4.0,4.0,7.0,7.0,4.0,4.0,7.0,7.0,12.0,17.0,,,,,0.0,,0.0,0.0,
11728,13.0,1.0,13.0,1.0,700.0,4.0,7.0,7.0,7.0,4.0,7.0,7.0,7.0,4.0,7.0,7.0,7.0,,12.0,,,,,0.0,0.0,0.0,0.0,1.0
11959,4.0,1.0,4.0,1.0,120.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,27.0,,,,,0.0,,,0.0,1.0
246,10.0,,1.0,1.0,220.0,4.0,7.0,7.0,10.0,4.0,7.0,7.0,,4.0,,7.0,10.0,7.0,7.0,,,,,0.0,0.0,0.0,,1.0
8214,,13.0,1.0,1.0,180.0,7.0,16.0,16.0,16.0,7.0,16.0,16.0,16.0,7.0,,16.0,16.0,12.0,22.0,,,,,0.0,0.0,0.0,0.0,1.0
17726,10.0,7.0,4.0,1.0,390.0,4.0,10.0,10.0,10.0,4.0,10.0,,10.0,4.0,10.0,10.0,10.0,7.0,12.0,,,,,0.0,,0.0,0.0,1.0
21995,7.0,7.0,1.0,1.0,90.0,4.0,4.0,4.0,7.0,4.0,4.0,4.0,7.0,4.0,,4.0,7.0,7.0,7.0,,,,,0.0,0.0,0.0,0.0,1.0
24984,16.0,13.0,4.0,1.0,310.0,4.0,7.0,10.0,16.0,4.0,7.0,10.0,16.0,4.0,7.0,10.0,16.0,7.0,22.0,,,,,0.0,0.0,0.0,0.0,1.0
13264,7.0,4.0,4.0,1.0,160.0,4.0,,7.0,7.0,4.0,4.0,7.0,7.0,4.0,4.0,7.0,7.0,7.0,12.0,,,,,0.0,0.0,,0.0,
11664,7.0,7.0,1.0,1.0,390.0,1.0,4.0,7.0,7.0,1.0,4.0,7.0,7.0,1.0,4.0,7.0,7.0,7.0,7.0,,,,,0.0,,0.0,0.0,1.0
17077,19.0,16.0,4.0,1.0,400.0,4.0,7.0,13.0,13.0,4.0,7.0,13.0,13.0,4.0,7.0,13.0,13.0,17.0,32.0,,,,,0.0,0.0,0.0,0.0,1.0
25214,10.0,10.0,1.0,1.0,110.0,7.0,10.0,10.0,10.0,7.0,10.0,10.0,10.0,7.0,10.0,,10.0,12.0,,,,,,0.0,0.0,,0.0,1.0
22394,7.0,7.0,,1.0,70.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,7.0,7.0,,,,,0.0,0.0,0.0,0.0,1.0
4424,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,0.0,0.0,0.0,
17807,7.0,7.0,1.0,,270.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,7.0,7.0,12.0,17.0,,,,,0.0,0.0,0.0,0.0,1.0
8163,19.0,4.0,,,2840.0,1.0,,7.0,7.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0,7.0,37.0,,,,,0.0,0.0,0.0,0.0,7.0
13546,10.0,7.0,4.0,,490.0,4.0,4.0,7.0,7.0,4.0,4.0,7.0,7.0,4.0,4.0,7.0,7.0,7.0,,,,,,0.0,0.0,0.0,0.0,1.0
15023,10.0,10.0,1.0,,190.0,7.0,10.0,,10.0,,10.0,10.0,10.0,7.0,,10.0,,7.0,7.0,,,,,0.0,0.0,0.0,0.0,1.0
10340,10.0,10.0,1.0,,300.0,7.0,10.0,10.0,10.0,7.0,10.0,,10.0,7.0,10.0,10.0,,7.0,7.0,,,,,0.0,0.0,0.0,0.0,1.0
22556,10.0,10.0,1.0,1.0,130.0,4.0,7.0,7.0,7.0,4.0,7.0,,7.0,4.0,7.0,7.0,7.0,,7.0,,,,,0.0,0.0,0.0,0.0,1.0
20224,10.0,10.0,1.0,1.0,310.0,7.0,,10.0,10.0,7.0,,10.0,10.0,7.0,10.0,10.0,10.0,7.0,7.0,,,,,0.0,0.0,0.0,0.0,1.0
8804,7.0,7.0,1.0,1.0,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,22.0,32.0,,,,,0.0,0.0,0.0,0.0,1.0
7106,4.0,1.0,,1.0,500.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,17.0,17.0,,,,,0.0,0.0,0.0,0.0,
12240,25.0,13.0,13.0,1.0,4940.0,1.0,7.0,10.0,19.0,1.0,7.0,10.0,19.0,1.0,7.0,10.0,19.0,,272.0,,,,,0.0,0.0,0.0,0.0,1.0
1414,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,,,,,0.0,0.0,0.0,,
20861,,13.0,1.0,1.0,250.0,7.0,13.0,13.0,13.0,7.0,13.0,13.0,13.0,7.0,13.0,13.0,13.0,7.0,7.0,,,,,0.0,0.0,0.0,0.0,1.0
8289,10.0,10.0,1.0,1.0,160.0,4.0,4.0,10.0,10.0,4.0,4.0,10.0,10.0,4.0,4.0,10.0,10.0,32.0,52.0,,,,,0.0,0.0,0.0,0.0,1.0
3656,7.0,7.0,1.0,1.0,110.0,4.0,4.0,7.0,7.0,4.0,4.0,7.0,7.0,4.0,4.0,7.0,7.0,7.0,7.0,,,,,0.0,0.0,,0.0,1.0
6207,7.0,1.0,7.0,1.0,350.0,1.0,,7.0,,1.0,7.0,7.0,7.0,1.0,,7.0,7.0,47.0,62.0,,,,,0.0,0.0,0.0,0.0,1.0
14895,,,1.0,1.0,,4.0,10.0,13.0,13.0,4.0,10.0,,13.0,4.0,10.0,13.0,13.0,17.0,22.0,,,,,0.0,0.0,0.0,0.0,1.0
11088,13.0,13.0,1.0,1.0,250.0,4.0,7.0,7.0,13.0,4.0,,7.0,13.0,4.0,7.0,7.0,13.0,12.0,12.0,,,,,0.0,0.0,0.0,0.0,1.0
13855,4.0,4.0,1.0,1.0,90.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,,4.0,4.0,4.0,7.0,7.0,,,,,,0.0,0.0,0.0,1.0
17041,7.0,4.0,4.0,1.0,260.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,4.0,4.0,4.0,12.0,,,,,,0.0,0.0,0.0,0.0,1.0
7263,4.0,4.0,1.0,1.0,40.0,1.0,4.0,4.0,4.0,,4.0,4.0,,1.0,4.0,4.0,4.0,,,,,,,0.0,0.0,0.0,0.0,1.0
10528,7.0,4.0,4.0,1.0,910.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,32.0,32.0,,,,,0.0,0.0,0.0,0.0,1.0
8681,19.0,7.0,13.0,1.0,4390.0,4.0,10.0,13.0,13.0,4.0,10.0,13.0,,4.0,10.0,13.0,13.0,12.0,97.0,,,,,0.0,0.0,0.0,0.0,1.0
14719,19.0,13.0,,1.0,720.0,4.0,4.0,7.0,10.0,4.0,4.0,,10.0,4.0,4.0,7.0,,12.0,32.0,,,,,0.0,0.0,0.0,0.0,1.0
12241,7.0,7.0,1.0,1.0,100.0,4.0,4.0,7.0,7.0,,4.0,7.0,7.0,4.0,4.0,7.0,7.0,7.0,7.0,,,,,0.0,0.0,,0.0,1.0
943,1.0,1.0,1.0,,270.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,7.0,42.0,,,,,0.0,0.0,0.0,0.0,19.0
22066,7.0,7.0,,1.0,130.0,1.0,7.0,,7.0,1.0,7.0,7.0,7.0,1.0,7.0,7.0,7.0,7.0,7.0,,,,,0.0,0.0,0.0,0.0,1.0
22490,19.0,10.0,10.0,,550.0,1.0,4.0,7.0,10.0,1.0,4.0,7.0,10.0,1.0,4.0,7.0,10.0,7.0,27.0,,,,,0.0,,0.0,0.0,1.0
11162,13.0,1.0,13.0,1.0,2600.0,10.0,10.0,13.0,,10.0,10.0,13.0,13.0,10.0,10.0,13.0,13.0,27.0,57.0,,,,,0.0,0.0,0.0,0.0,1.0
2197,7.0,7.0,1.0,1.0,3220.0,1.0,7.0,7.0,7.0,1.0,7.0,7.0,7.0,1.0,7.0,7.0,7.0,12.0,62.0,,,,,,0.0,0.0,0.0,1.0
16445,4.0,4.0,1.0,,120.0,1.0,4.0,,4.0,,,4.0,4.0,1.0,4.0,4.0,4.0,7.0,7.0,,,,,0.0,0.0,0.0,0.0,1.0
6260,10.0,10.0,,1.0,150.0,4.0,10.0,10.0,10.0,4.0,10.0,10.0,10.0,4.0,10.0,10.0,10.0,7.0,7.0,,,,,0.0,0.0,0.0,0.0,1.0
876,4.0,4.0,1.0,1.0,70.0,1.0,1.0,4.0,4.0,1.0,1.0,,4.0,,1.0,,4.0,7.0,7.0,,,,,0.0,0.0,0.0,0.0,1.0
17324,4.0,,1.0,1.0,20.0,1.0,4.0,4.0,4.0,,4.0,4.0,4.0,1.0,4.0,4.0,4.0,7.0,7.0,,,,,0.0,,0.0,0.0,1.0
3411,4.0,1.0,4.0,1.0,40.0,1.0,1.0,1.0,4.0,1.0,,1.0,,1.0,1.0,1.0,4.0,12.0,12.0,,,,,0.0,0.0,0.0,0.0,1.0
25027,10.0,4.0,7.0,1.0,780.0,4.0,7.0,7.0,7.0,4.0,7.0,7.0,7.0,4.0,7.0,7.0,7.0,27.0,37.0,,,,,0.0,0.0,,0.0,1.0
1877,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,7.0,,,,,0.0,0.0,,0.0,1.0
24088,7.0,,1.0,1.0,80.0,4.0,7.0,7.0,7.0,4.0,7.0,7.0,7.0,4.0,7.0,7.0,7.0,12.0,12.0,,,,,0.0,0.0,0.0,0.0,1.0
20342,7.0,1.0,7.0,1.0,980.0,4.0,4.0,4.0,4.0,,4.0,,,4.0,4.0,4.0,4.0,17.0,22.0,,,,,0.0,0.0,0.0,0.0,1.0
1492,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,7.0,12.0,,,,,0.0,0.0,0.0,0.0,1.0
2057,10.0,,1.0,1.0,80.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,37.0,,,,,,0.0,0.0,0.0,1.0
21996,13.0,7.0,,1.0,340.0,7.0,13.0,13.0,13.0,7.0,13.0,13.0,13.0,7.0,13.0,13.0,13.0,12.0,17.0,,,,,0.0,0.0,0.0,0.0,1.0
